fecha,producto,cantidad_vendida,monto_venta,clientes,tienda
2022-01-01,broche,2,715.74,181,21
2022-01-01,broche,2,434.6,215,19
2022-01-01,dije,3,2857.48,212,1
2022-01-01,gemelos,2,885.91,165,5
2022-01-01,broche,1,347.71,213,3
2022-01-01,collar,3,1544.04,175,27
2022-01-01,collar,1,588.77,186,32
2022-01-01,broche,2,201.73,193,22
2022-01-01,anillo,1,324.2,184,24
2022-01-01,cadena,1,574.46,164,18
2022-01-01,dije,3,710.54,186,30
2022-01-01,aros,2,1897.33,222,39
2022-01-01,cadena,1,595.17,192,22
2022-01-01,collar,1,643.24,191,15
2022-01-01,reloj,2,588.25,198,28
2022-01-01,gemelos,2,259.79,210,31
2022-01-01,aros,3,882.91,185,37
2022-01-01,collar,1,127.14,213,3
2022-01-01,gemelos,1,377.24,184,2
2022-01-01,anillo,1,621.38,203,6
2022-01-01,anillo,1,152.93,229,22
2022-01-01,alfiler,3,1270.53,193,38
2022-01-02,alfiler,2,852.71,230,1
2022-01-02,cadena,1,989.5,226,35
2022-01-02,cadena,2,1738.34,235,2
2022-01-02,anillo,3,2124.23,214,31
2022-01-02,gemelos,1,770.17,187,37
2022-01-02,gemelos,2,1793.52,209,35
2022-01-02,gemelos,1,438.82,203,30
2022-01-02,pulsera,2,803.65,206,22
2022-01-02,dije,2,338.85,145,28
2022-01-02,pulsera,1,174.37,181,33
2022-01-02,broche,3,609.62,208,6
2022-01-02,gemelos,1,516.91,192,21
2022-01-02,gemelos,2,1662.72,192,11
2022-01-02,collar,1,470.39,194,21
2022-01-02,cadena,2,712.8,171,5
2022-01-02,alfiler,4,1890.41,192,25
2022-01-02,collar,1,359.77,166,12
2022-01-02,broche,3,2232.04,178,33
2022-01-02,reloj,2,1496.75,227,9
2022-01-02,aros,1,562.46,173,14
2022-01-02,pulsera,1,777.98,203,34
2022-01-02,cadena,3,2102.38,212,18
2022-01-02,dije,2,545.89,209,18
2022-01-02,alfiler,2,1562.72,215,4
2022-01-02,broche,1,821.32,195,21
2022-01-02,anillo,1,456.82,216,2
2022-01-02,cadena,1,504.71,228,5
2022-01-02,reloj,1,512.81,191,20
2022-01-03,anillo,3,1250.37,213,31
2022-01-03,aros,2,1551.82,206,11
2022-01-03,reloj,4,2389.88,220,18
2022-01-03,dije,3,1972.7,186,13
2022-01-03,pulsera,1,768.77,187,30
2022-01-03,alfiler,3,1565.88,176,18
2022-01-03,gemelos,3,1255.47,187,13
2022-01-03,aros,2,1638.01,226,10
2022-01-03,aros,3,1111.41,190,18
2022-01-03,anillo,2,1482.13,194,40
2022-01-03,reloj,1,869.87,235,23
2022-01-03,collar,1,903.47,204,36
2022-01-03,collar,1,520.31,203,2
2022-01-03,pulsera,2,679.61,226,29
2022-01-03,dije,1,270.52,181,10
2022-01-03,cadena,2,533.75,222,9
2022-01-03,broche,1,173.39,210,27
2022-01-03,alfiler,1,890.19,201,36
2022-01-03,alfiler,1,636.84,206,36
2022-01-03,gemelos,1,199.94,189,30
2022-01-03,cadena,3,2261.75,210,14
2022-01-03,alfiler,1,339.15,215,11
2022-01-04,cadena,1,483.78,190,18
2022-01-04,broche,1,209.56,255,27
2022-01-04,anillo,2,1230.59,208,1
2022-01-04,gemelos,3,475.66,176,33
2022-01-04,reloj,2,1651.35,188,8
2022-01-04,broche,3,2342.51,216,9
2022-01-04,anillo,1,162.62,199,24
2022-01-04,gemelos,2,327.31,190,4
2022-01-04,cadena,1,659.23,217,22
2022-01-04,collar,2,1718.83,161,5
2022-01-04,alfiler,2,959.59,215,22
2022-01-04,aros,3,309.43,209,24
2022-01-04,cadena,2,390.78,199,3
2022-01-04,cadena,3,1693.91,209,23
2022-01-04,dije,2,553.7,201,34
2022-01-04,collar,2,1081.89,161,39
2022-01-04,gemelos,1,498.99,242,11
2022-01-04,gemelos,1,262.49,175,28
2022-01-05,reloj,2,1038.68,178,2
2022-01-05,collar,1,740.42,251,35
2022-01-05,reloj,3,478.7,209,4
2022-01-05,reloj,1,246.91,204,16
2022-01-05,cadena,2,1699.01,176,14
2022-01-05,pulsera,3,2563.27,160,27
2022-01-05,aros,1,998.73,215,3
2022-01-05,dije,1,526.86,156,7
2022-01-05,alfiler,2,894.43,192,23
2022-01-05,alfiler,1,724.14,197,30
2022-01-05,broche,1,566.19,199,25
2022-01-06,alfiler,1,797.37,181,23
2022-01-06,collar,2,1716.53,198,1
2022-01-06,collar,1,889.25,201,26
2022-01-06,broche,2,733.23,198,26
2022-01-06,collar,1,285.19,217,14
2022-01-06,broche,1,513.46,207,34
2022-01-06,cadena,3,1467.36,223,13
2022-01-06,pulsera,1,567.04,192,34
2022-01-06,pulsera,3,364.38,190,6
2022-01-06,broche,2,262.24,227,16
2022-01-06,anillo,1,796.26,191,19
2022-01-06,reloj,1,638.95,181,17
2022-01-06,anillo,2,1876.64,188,8
2022-01-06,dije,2,849.74,187,11
2022-01-06,collar,3,2863.42,217,24
2022-01-06,dije,4,579.36,175,31
2022-01-06,alfiler,1,692.97,190,26
2022-01-06,dije,2,1250.93,196,31
2022-01-06,reloj,1,998.49,207,9
2022-01-06,broche,1,752.1,201,36
2022-01-06,alfiler,2,261.02,183,13
2022-01-06,pulsera,1,888.78,225,29
2022-01-06,collar,2,519.89,223,39
2022-01-06,aros,2,805.44,194,11
2022-01-06,aros,3,1962.92,197,22
2022-01-06,pulsera,1,450.67,171,23
2022-01-07,dije,1,257.97,213,12
2022-01-07,alfiler,1,498.42,203,18
2022-01-07,dije,1,945.61,189,17
2022-01-07,dije,2,1811.11,200,16
2022-01-07,anillo,2,1818.33,184,27
2022-01-07,gemelos,2,648.13,158,35
2022-01-07,cadena,1,720.93,195,5
2022-01-07,reloj,1,478.29,184,6
2022-01-07,collar,1,582.68,151,17
2022-01-07,gemelos,2,929.23,169,26
2022-01-08,collar,3,2331.83,195,32
2022-01-08,reloj,2,547.9,183,5
2022-01-08,alfiler,2,1376.28,185,12
2022-01-08,aros,2,337.11,235,32
2022-01-08,gemelos,3,445.39,209,38
2022-01-08,reloj,1,307.44,208,34
2022-01-08,pulsera,3,1708.69,216,31
2022-01-08,gemelos,4,2610.18,190,31
2022-01-08,pulsera,1,401.07,169,38
2022-01-08,alfiler,3,942.04,206,39
2022-01-08,pulsera,2,1188.04,184,31
2022-01-08,collar,4,3291.5,207,17
2022-01-08,cadena,3,2943.4,196,16
2022-01-08,aros,1,242.1,213,5
2022-01-08,aros,1,177.22,187,14
2022-01-08,collar,2,1983.78,212,30
2022-01-08,cadena,2,1809.11,183,33
2022-01-08,dije,3,1874.28,168,33
2022-01-08,alfiler,2,1437.56,210,3
2022-01-09,dije,2,1587.45,206,35
2022-01-09,cadena,2,618.62,214,25
2022-01-09,reloj,2,1718.17,196,19
2022-01-09,alfiler,1,448.92,215,12
2022-01-09,pulsera,1,935.0,197,33
2022-01-09,reloj,2,905.05,186,25
2022-01-09,pulsera,2,703.59,210,23
2022-01-09,broche,1,812.26,175,9
2022-01-09,reloj,1,980.61,189,21
2022-01-09,cadena,2,1802.24,153,4
2022-01-09,reloj,2,695.71,178,1
2022-01-09,cadena,2,1453.76,205,21
2022-01-09,cadena,2,749.44,211,32
2022-01-09,dije,1,141.69,211,29
2022-01-09,dije,1,632.65,195,35
2022-01-09,cadena,1,733.31,206,7
2022-01-09,pulsera,2,620.65,204,28
2022-01-09,broche,1,585.28,189,25
2022-01-09,collar,3,885.31,189,17
2022-01-09,broche,1,159.82,193,27
2022-01-09,reloj,1,283.14,198,29
2022-01-09,broche,2,1231.87,174,26
2022-01-09,alfiler,1,342.44,183,21
2022-01-09,pulsera,1,107.29,221,24
2022-01-09,collar,2,425.39,245,35
2022-01-09,anillo,2,591.19,176,30
2022-01-09,broche,3,763.99,200,8
2022-01-09,pulsera,3,1168.96,206,12
2022-01-09,cadena,1,606.55,216,16
2022-01-10,collar,2,534.77,178,12
2022-01-10,broche,1,637.95,218,37
2022-01-10,aros,1,740.65,180,12
2022-01-10,gemelos,1,598.34,138,13
2022-01-10,broche,1,612.52,194,16
2022-01-10,pulsera,2,1180.0,219,33
2022-01-10,dije,1,709.02,167,16
2022-01-10,aros,1,151.42,212,15
2022-01-10,cadena,2,997.28,192,8
2022-01-10,alfiler,1,219.4,175,16
2022-01-10,pulsera,1,967.48,163,18
2022-01-10,aros,1,576.72,178,25
2022-01-10,collar,1,224.63,195,2
2022-01-10,dije,1,548.58,218,10
2022-01-10,gemelos,2,814.71,228,40
2022-01-10,alfiler,2,933.06,244,37
2022-01-11,cadena,1,470.01,193,20
2022-01-11,collar,2,613.81,195,39
2022-01-11,collar,3,1902.19,187,39
2022-01-11,dije,2,802.92,189,18
2022-01-11,alfiler,4,2014.28,200,24
2022-01-11,anillo,1,492.36,201,17
2022-01-11,collar,3,2723.39,162,12
2022-01-11,collar,1,807.86,189,4
2022-01-11,collar,1,347.48,197,32
2022-01-11,cadena,2,841.57,189,15
2022-01-11,gemelos,1,498.79,210,38
2022-01-11,aros,2,427.04,172,38
2022-01-12,cadena,1,825.78,195,32
2022-01-12,broche,1,259.15,191,17
2022-01-12,broche,1,296.95,185,18
2022-01-12,gemelos,1,851.77,195,14
2022-01-12,reloj,2,1965.78,210,11
2022-01-12,aros,1,116.21,207,29
2022-01-12,cadena,2,1023.76,166,40
2022-01-12,aros,1,817.97,162,38
2022-01-12,collar,2,701.89,225,5
2022-01-12,gemelos,3,669.33,164,38
2022-01-12,gemelos,3,2799.21,154,40
2022-01-12,collar,1,325.64,217,26
2022-01-12,gemelos,1,328.71,194,6
2022-01-12,cadena,1,763.63,154,9
2022-01-12,alfiler,1,920.2,211,9
2022-01-12,dije,2,1453.38,183,1
2022-01-12,gemelos,3,1227.58,214,40
2022-01-13,dije,1,225.15,181,17
2022-01-13,gemelos,3,480.99,152,6
2022-01-13,pulsera,3,2544.8,183,30
2022-01-13,collar,3,1800.85,212,29
2022-01-13,cadena,3,1531.79,228,25
2022-01-13,collar,1,170.42,184,8
2022-01-13,pulsera,1,353.23,199,24
2022-01-13,cadena,1,506.62,173,7
2022-01-13,gemelos,1,581.7,191,36
2022-01-13,alfiler,1,459.97,180,31
2022-01-13,aros,2,1786.39,208,13
2022-01-13,alfiler,1,899.91,175,9
2022-01-13,broche,1,133.04,227,7
2022-01-13,broche,2,842.13,254,28
2022-01-13,gemelos,1,971.86,224,20
2022-01-13,anillo,2,1010.92,177,30
2022-01-13,aros,1,761.87,197,17
2022-01-13,reloj,1,198.9,193,11
2022-01-13,cadena,1,544.99,209,2
2022-01-13,aros,1,367.97,193,30
2022-01-13,cadena,1,642.6,198,11
2022-01-13,pulsera,3,2970.04,166,20
2022-01-13,cadena,1,480.2,192,32
2022-01-13,cadena,2,979.29,228,7
2022-01-13,aros,3,986.76,185,7
2022-01-13,broche,2,633.81,199,20
2022-01-13,anillo,2,1338.05,219,40
2022-01-14,aros,3,878.41,200,34
2022-01-14,reloj,2,1402.24,189,37
2022-01-14,aros,1,370.65,171,37
2022-01-14,gemelos,2,1841.05,210,26
2022-01-14,reloj,1,706.46,213,33
2022-01-14,reloj,1,511.81,196,37
2022-01-14,reloj,1,521.21,168,21
2022-01-14,reloj,2,341.19,237,13
2022-01-14,gemelos,2,1024.36,183,8
2022-01-14,reloj,1,109.67,228,24
2022-01-14,aros,1,755.47,146,40
2022-01-14,anillo,1,647.52,209,40
2022-01-14,anillo,1,738.14,198,1
2022-01-14,alfiler,1,727.44,201,31
2022-01-14,pulsera,1,586.62,216,37
2022-01-14,reloj,1,935.31,193,16
2022-01-14,aros,1,751.93,186,14
2022-01-14,gemelos,2,1152.28,208,29
2022-01-14,anillo,1,208.0,209,22
2022-01-14,alfiler,1,937.62,180,8
2022-01-14,collar,1,783.65,222,4
2022-01-14,aros,1,136.86,214,7
2022-01-14,collar,2,1017.45,186,29
2022-01-14,collar,1,900.8,185,10
2022-01-14,alfiler,2,1425.27,228,18
2022-01-14,reloj,1,833.09,174,34
2022-01-14,gemelos,2,1591.95,201,31
2022-01-14,dije,1,867.31,161,2
2022-01-14,anillo,1,150.21,183,11
2022-01-15,alfiler,1,827.56,176,34
2022-01-15,broche,2,698.25,226,29
2022-01-15,dije,1,712.69,156,34
2022-01-15,broche,1,406.96,170,36
2022-01-15,anillo,1,481.36,209,27
2022-01-15,pulsera,1,613.36,207,15
2022-01-15,dije,1,776.42,182,38
2022-01-15,anillo,1,648.94,186,19
2022-01-15,anillo,1,731.58,210,20
2022-01-15,dije,2,1949.23,210,16
2022-01-15,reloj,3,1171.01,175,26
2022-01-15,broche,2,1283.58,168,28
2022-01-15,aros,2,803.13,196,22
2022-01-15,reloj,4,1367.8,194,24
2022-01-15,dije,1,792.33,217,28
2022-01-15,reloj,1,551.37,232,18
2022-01-15,cadena,3,2560.66,176,40
2022-01-15,gemelos,1,938.45,210,34
2022-01-15,broche,3,1630.67,201,40
2022-01-15,aros,3,1934.69,176,5
2022-01-15,pulsera,1,347.96,203,14
2022-01-15,cadena,1,539.9,186,14
2022-01-15,broche,3,2199.28,201,38
2022-01-15,alfiler,1,266.19,195,2
2022-01-16,cadena,2,994.02,202,3
2022-01-16,cadena,1,110.42,173,20
2022-01-16,alfiler,2,274.8,172,9
2022-01-16,alfiler,1,235.99,201,5
2022-01-16,gemelos,3,1527.0,185,15
2022-01-16,anillo,2,1311.11,215,26
2022-01-16,gemelos,1,695.28,215,14
2022-01-16,gemelos,3,1095.98,201,12
2022-01-16,alfiler,2,726.29,215,27
2022-01-16,cadena,1,863.06,199,6
2022-01-16,alfiler,1,490.81,192,13
2022-01-16,pulsera,2,1440.38,171,13
2022-01-16,broche,1,400.75,173,7
2022-01-16,cadena,2,758.51,232,3
2022-01-16,cadena,2,297.75,271,29
2022-01-16,gemelos,1,162.28,209,32
2022-01-16,broche,3,2681.06,194,11
2022-01-16,aros,1,491.22,211,9
2022-01-16,cadena,1,696.22,185,14
2022-01-16,anillo,1,298.0,199,12
2022-01-16,pulsera,4,1442.85,222,10
2022-01-16,anillo,1,185.2,167,12
2022-01-16,alfiler,3,1523.9,175,21
2022-01-16,cadena,2,645.52,194,37
2022-01-16,cadena,2,1011.51,228,39
2022-01-16,anillo,3,1963.3,204,10
2022-01-16,collar,1,941.69,212,28
2022-01-16,reloj,1,744.52,204,13
2022-01-16,reloj,1,635.2,207,21
2022-01-17,reloj,3,2742.25,177,8
2022-01-17,dije,1,417.25,192,1
2022-01-17,broche,2,1610.46,219,7
2022-01-17,gemelos,1,213.19,180,2
2022-01-17,broche,1,116.22,209,23
2022-01-17,pulsera,2,482.51,195,38
2022-01-17,anillo,2,1943.35,192,5
2022-01-17,reloj,1,899.64,219,18
2022-01-17,gemelos,1,897.73,193,31
2022-01-17,aros,1,199.56,205,7
